Organisationsnr,Namn,PostAdress,PostNr,PostOrt,BesöksAdress,BesöksPostNr,BesöksPostOrt,Tfn,Fax,Epost,Webbadress,SFS,Land,Ambassadör/Generalkonsul,PostAdress1,PostAdress2,PostAdress3,PostAdress4,PostAdress5,PostAdress6,PostAdress7,BesöksAdress1,BesöksAdress2,BesöksAdress3,BesöksAdress4,BesöksAdress5,BesöksAdress6,BesöksAdress7,Sort
202100-2742,FÖRVALTNINGSRÄTTEN I MALMÖ,BOX 4522,203 20,MALMÖ,BANGÅRDSPLATSEN 2,211 20,MALMÖ,40353500.0,,forvaltningsrattenimalmo@dom.se,www.forvaltningsrattenimalmo.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,FÖRVALTNINGSRÄTTEN I STOCKHOLM OCH MIGRATIONSDOM,,115 76,STOCKHOLM,TEGELUDDSVÄGEN 1,115 41,STOCKHOLM,856168000.0,,forvaltningsrattenistockholm@dom.se,www.forvaltningsrattenistockholm.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,FÖRVALTNINGSRÄTTEN I UMEÅ,BOX 193,901 05,UMEÅ,Nygatan 45,903 30,UMEÅ,90177400.0,,forvaltningsratteniumea@dom.se,www.forvaltningsratteniumea.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,FÖRVALTNINGSRÄTTEN I UPPSALA,BOX 1853,751 48,UPPSALA,STATIONSGATAN 12,753 40,UPPSALA,184316300.0,,forvaltningsratteniuppsala@dom.se,www.forvaltningsratteniuppsala.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,FÖRVALTNINGSRÄTTEN I VÄXJÖ,BOX 42,351 03,VÄXJÖ,KUNGSGATAN 8,352 33,VÄXJÖ,470560200.0,,forvaltningsrattenivaxjo@dom.se,www.forvaltningsrattenivaxjo.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,GOTLANDS TINGSRÄTT,BOX 1143,621 22,VISBY,ARTILLERIGATAN 2 A,621 45,VISBY,498281400.0,,gotlands.tingsratt@dom.se,www.gotlandstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,GÄLLIVARE TINGSRÄTT,BOX 23,982 21,GÄLLIVARE,LASARETTSGATAN 22,982 32,GÄLLIVARE,97075800.0,,gallivare.tingsratt@dom.se,,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,GÄVLE TINGSRÄTT,BOX 1194,801 36,GÄVLE,LANTMÄTERIGATAN 4,802 64,GÄVLE,26176700.0,,gavle.tingsratt@dom.se,www.gavletingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,GÖTA HOVRÄTT,BOX 2223,550 02,JÖNKÖPING,HAMNGATAN 11,553 16,JÖNKÖPING,36156900.0,,gota.hovratt@dom.se,www.gotahovratt.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,GÖTEBORGS TINGSRÄTT,,404 83,GÖTEBORG,ULLEVIGATAN 15,411 39,GÖTEBORG,317011000.0,,gbg.tingsratt@dom.se,www.goteborgstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HALMSTADS TINGSRÄTT,BOX 193,301 05,HALMSTAD,SÖDRA VÄGEN 5,302 38,HALMSTAD,35152500.0,,halmstads.tingsratt@dom.se,www.halmstadstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HAPARANDA TINGSRÄTT,BOX 174,953 24,HAPARANDA,STRANDGATAN 20,953 31,HAPARANDA,92228100.0,,haparanda.tingsratt@dom.se,www.haparandatingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HELSINGBORGS TINGSRÄTT,BOX 712,251 07,HELSINGBORG,KONSUL PERSSONS PLATS 1,252 18,HELSINGBORG,42199700.0,,helsingborgs.tingsratt@dom.se,www.helsingborgstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HOVRÄTTEN FÖR NEDRE NORRLAND,BOX 170,851 03,SUNDSVALL,SÖDRA TJÄRNGATAN 2,852 33,SUNDSVALL,60186800.0,,hovratten.nedrenorrland@dom.se,www.hovrattenfornedrenorrland.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HOVRÄTTEN FÖR VÄSTRA SVERIGE,BOX 40,401 20,GÖTEBORG,PACKHUSPLATSEN 6,411 13,GÖTEBORG,317012200.0,,hovratten.vastrasverige@dom.se,www.vastrahovratten.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HOVRÄTTEN FÖR ÖVRE NORRLAND,BOX 384,901 08,UMEÅ,BANKGATAN 3,903 25,UMEÅ,90172000.0,,hovratten.ovrenorrland@dom.se,www.hovrattenovrenorrland.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HOVRÄTTEN ÖVER SKÅNE OCH BLEKINGE,BOX 846,201 80,MALMÖ,HOVRÄTTSTORGET 1,211 18,MALMÖ,40355700.0,,hovratten.skaneblekinge@dom.se,www.hovrattenskaneblekinge.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HYRES OCH ARRENDENÄMNDEN I GÖTEBORG,,404 83,GÖTEBORG,ULLEVIGATAN 15,411 39,GÖTEBORG,313140360.0,,hyresnamndenigoteborg@dom.se,www.hyresnamnden.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HYRES OCH ARRENDENÄMNDEN I JÖNKÖPING,BOX 2243,550 02,JÖNKÖPING,HAMNGATAN 15,553 16,JÖNKÖPING,36156780.0,,hyresnamndenijonkoping@dom.se,www.hyresnamnden.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HYRES OCH ARRENDENÄMNDEN I LINKÖPING,BOX 359,581 03,LINKÖPING,BRIGADGATAN 3,587 58,LINKÖPING,13251000.0,,hyresnamndenilinkoping@dom.se,www.hyresnamnden.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HYRES OCH ARRENDENÄMNDEN I STOCKHOLM,BOX 67,131 07,NACKA,SICKLASTRÅKET 1,131 54,NACKA,856166500.0,,hyresnamndenistockholm@dom.se,www.hyresnamnden.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HYRES OCH ARRENDENÄMNDEN I SUNDSVALL,BOX 415,851 06,SUNDSVALL,STORGATAN 39,852 33,SUNDSVALL,60186790.0,,hyresnamndenisundsvall@dom.se,www.hyresnamnden.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HYRES OCH ARRENDENÄMNDEN I UMEÅ,BOX 324,901 07,UMEÅ,NYGATAN 45,903 30,UMEÅ,90172190.0,,hyresnamndeniumea@dom.se,www.hyresnamnden.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HYRES OCH ARRENDENÄMNDEN I VÄSTERÅS,BOX 40,721 04,VÄSTERÅS,SIGURDSGATAN 22,721 30,VÄSTERÅS,21310590.0,,hyresnamndenivasteras@dom.se,www.hyresnamnden.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HYRES OCH ARRENDENÄMNEN I MALMÖ,BOX 4287,203 14,MALMÖ,Bangårdsplatsen 2,211 20,MALMÖ,40353400.0,,hyresnamndenimalmo@dom.se,www.hyresnamnden.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HÄLSINGLANDS TINGSRÄTT,BOX 1073,824 12,HUDIKSVALL,DROTTNINGGATAN 17,824 30,HUDIKSVALL,65037450.0,,halsinglands.tingsratt@dom.se,www.hudiksvallstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HÄSSLEHOLMS TINGSRÄTT,BOX 135,281 22,HÄSSLEHOLM,TINGSHUSGATAN 3,281 30,HÄSSLEHOLM,45148700.0,,hassleholms.tingsratt@dom.se,www.hassleholmstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HÖGSTA DOMSTOLEN,BOX 2066,103 12,STOCKHOLM,RIDDARHUSTORGET 8,111 28,STOCKHOLM,856166600.0,,hogsta.domstolen@dom.se,www.hogstadomstolen.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,HÖGSTA FÖRVALTNINGSDOMSTOLEN,BOX 2293,103 17,STOCKHOLM,BIRGER JARLS TORG 13,111 28,STOCKHOLM,856167600.0,,hogstaforvaltningsdomstolen@dom.se,www.hogstaforvaltningsdomstolen.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,JÖNKÖPINGS TINGSRÄTT,BOX 2243,550 02,JÖNKÖPING,HAMNGATAN 15,553 16,JÖNKÖPING,36156700.0,,jonkopings.tingsratt@dom.se,www.jonkopingstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,KALMAR TINGSRÄTT,BOX 613,391 26,KALMAR,SMÅLANDSGATAN 28,392 34,KALMAR,480477800.0,,kalmar.tingsratt@dom.se,www.kalmartingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,KAMMARRÄTTEN I GÖTEBORG,BOX 1531,401 50,GÖTEBORG,Stora Nygatan 21,411 08,GÖTEBORG,317327400.0,,kammarratten.goteborg@dom.se,www.kammarratten.goteborg.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,KAMMARRÄTTEN I JÖNKÖPING,BOX 2203,550 02,JÖNKÖPING,HAMNGATAN 11,553 16,JÖNKÖPING,36156800.0,,kammarrattenijonkoping@dom.se,www.kammarrattenijonkoping.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,KAMMARRÄTTEN I STOCKHOLM OCH MIGRATIONSÖVERDOMST,BOX 2302,103 17,STOCKHOLM,BIRGER JARLS TORG 5,111 28,STOCKHOLM,856169000.0,,kammarrattenistockholm@dom.se,www.kammarrattenistockholm.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,KAMMARRÄTTEN I SUNDSVALL,BOX 714,851 21,SUNDSVALL,Södra Tjärngatan 2,852 33,SUNDSVALL,60186600.0,,kammarrattenisundsvall@dom.se,www.kammarrattenisundsvall.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,KRISTIANSTADS TINGSRÄTT,BOX 536,291 25,KRISTIANSTAD,KANALGATAN 32,291 34,KRISTIANSTAD,44183600.0,,kristianstads.tingsratt@dom.se,www.kristianstadstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,LINKÖPINGS TINGSRÄTT,BOX 365,581 03,LINKÖPING,BRIGADGATAN 3,587 58,LINKÖPING,13251000.0,,linkopings.tingsratt@dom.se,www.linkopingstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,LULEÅ TINGSRÄTT,BOX 849,971 26,LULEÅ,SKEPPSBROGATAN 43,972 31,LULEÅ,920295500.0,,lulea.tingsratt@dom.se,www.luleatingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,LUNDS TINGSRÄTT,BOX 75,221 00,LUND,TINGSRÄTTSPLATSEN 2,222 37,LUND,46160400.0,,lunds.tingsratt@dom.se,www.lundstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,LYCKSELE TINGSRÄTT,BOX 53,921 22,LYCKSELE,BÅNGVÄGEN 14,921 32,LYCKSELE,95023700.0,,lycksele.tingsratt@dom.se,www.lyckseletingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,MALMÖ TINGSRÄTT,BOX 265,201 22,MALMÖ,BANGÅRDSPLATSEN 2,211 20,MALMÖ,40353000.0,,malmo.tingsratt@dom.se,www.malmotingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,MORA TINGSRÄTT,BOX 31,792 21,MORA,STRANDGATAN 10,792 30,MORA,25029600.0,,mora.tingsratt@dom.se,www.moratingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,NACKA TINGSRÄTT,BOX 69,131 07,NACKA,SICKLASTRÅKET 1,131 54,NACKA,856165600.0,,nacka.tingsratt@dom.se,www.nackatingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,NORRKÖPINGS TINGSRÄTT,BOX 418,601 05,NORRKÖPING,Sveagatan 10,602 22,NORRKÖPING,11243500.0,,norrkopings.tingsratt@dom.se,www.norrkopingstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,NORRTÄLJE TINGSRÄTT,BOX 5,761 21,NORRTÄLJE,ASTRID LINDGRENS GATA 7,761 46,NORRTÄLJE,17676800.0,,norrtalje.tingsratt@dom.se,www.norrtaljetingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,NYKÖPINGS TINGSRÄTT,BOX 333,611 27,NYKÖPING,FOLKUNGAVÄGEN 4,611 34,NYKÖPING,155120400.0,,nykopings.tingsratt@dom.se,www.nykopingstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,SKARABORGS TINGSRÄTT,BOX 174,541 24,SKÖVDE,ERIC UGGLAS PLATS 2,541 51,SKÖVDE,500499200.0,,skaraborgs.tingsratt@dom.se,www.skaraborgstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,SKELLEFTEÅ TINGSRÄTT,BOX 398,931 24,SKELLEFTEÅ,BRÄNNAVÄGEN 9,931 33,SKELLEFTEÅ,910725650.0,,skelleftea.tingsratt@dom.se,www.skellefteatingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,SOLNA TINGSRÄTT,BOX 1356,171 26,SOLNA,SUNDBYBERGSVÄGEN 5,171 73,SOLNA,856165800.0,,solna.tingsratt@dom.se,www.solnatingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,STOCKHOLMS TINGSRÄTT OCH PATENT OCH MARKNADSDOM,BOX 8307,104 20,STOCKHOLM,SCHEELEGATAN 7,112 28,STOCKHOLM,856165000.0,,stockholms.tingsratt@dom.se,www.stockholmstingsratt.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,SUNDSVALLS TINGSRÄTT,BOX 467,851 06,SUNDSVALL,STORGATAN 39,852 33,SUNDSVALL,60186700.0,,sundsvalls.tingsratt@dom.se,www.sundsvallstingsratt.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,SVEA HOVRÄTT O MARK O MILJÖ OCH PATENT,BOX 2290,103 17,STOCKHOLM,BIRGER JARLS TORG 16,111 28,STOCKHOLM,856167000.0,,svea.hovratt@dom.se,www.svea.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,SÖDERTÄLJE TINGSRÄTT,BOX 348,151 24,SÖDERTÄLJE,STORGATAN 17,151 72,SÖDERTÄLJE,856166800.0,,sodertalje.tingsratt@dom.se,www.sodertaljetingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,SÖDERTÖRNS TINGSRÄTT,,141 84,HUDDINGE,BJÖRNKULLAVÄGEN 5 A,141 51,HUDDINGE,856166000.0,,sodertorns.tingsratt@dom.se,www.sodertornstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,UDDEVALLA TINGSRÄTT,BOX 323,451 18,UDDEVALLA,ZACHAUS GRÄND 2,451 30,UDDEVALLA,522657100.0,,uddevalla.tingsratt@dom.se,www.uddevallatingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,UMEÅ TINGSRÄTT,BOX 138,901 04,UMEÅ,Nygatan 45  Tingshuset,903 30,UMEÅ,90172100.0,,umea.tingsratt@dom.se,www.umeatingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,UPPSALA TINGSRÄTT,BOX 1113,751 41,UPPSALA,SMEDSGRÄND 22,753 20,UPPSALA,184316000.0,,uppsala.tingsratt@dom.se,www.uppsalatingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,VARBERGS TINGSRÄTT,BOX 121,432 23,VARBERG,ÖSTRA LÅNGGATAN 7,432 45,VARBERG,340628400.0,,varbergs.tingsratt@dom.se,www.varbergstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,VÄNERSBORGS TINGSRÄTT OCH MARK OCH MILJÖDOMSTOL,BOX 1070,462 28,VÄNERSBORG,HAMNGATAN 6,462 30,VÄNERSBORG,521270200.0,,vanersborgs.tingsratt@dom.se,www.vanersborgstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,VÄRMLANDS TINGSRÄTT,BOX 188,651 05,KARLSTAD,VÄSTRA TORGGATAN 13,652 24,KARLSTAD,54148400.0,,varmlands.tingsratt@dom.se,www.varmlandstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,VÄSTMANLANDS TINGSRÄTT,BOX 40,721 04,VÄSTERÅS,SIGURDSGATAN 22,721 30,VÄSTERÅS,21310400.0,,vastmanlands.tingsratt@dom.se,www.vastmanlandstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,VÄXJÖ TINGSRÄTT OCH MARK OCH MILJÖDOMSTOL,BOX 81,351 03,VÄXJÖ,KUNGSGATAN 8,352 33,VÄXJÖ,470560100.0,,vaxjo.tingsratt@dom.se,www.vaxjotingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,YSTADS TINGSRÄTT,BOX 114,271 23,YSTAD,BOLLHUSGATAN 16,271 42,YSTAD,41169100.0,,ystads.tingsratt@dom.se,www.ystadstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,ÅNGERMANLANDS TINGSRÄTT,BOX 114,871 23,HÄRNÖSAND,BACKGRÄND 9,871 32,HÄRNÖSAND,611460500.0,,angermanlands.tingsratt@dom.se,www.angermanlandstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,ÖREBRO TINGSRÄTT,BOX 383,701 47,ÖREBRO,JÄRNVÄGSGATAN 1 A,703 62,ÖREBRO,19166300.0,,orebro.tingsratt@dom.se,www.orebrotingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-2742,ÖSTERSUNDS TINGSRÄTT OCH MARK OCH MILJÖDOMSTOL,BOX 708,831 28,ÖSTERSUND,STORGATAN 6,831 30,ÖSTERSUND,63150600.0,,ostersunds.tingsratt@dom.se,www.ostersundstingsratt.domstol.se,1988:317,,,,,,,,,,,,,,,,,9.0
202100-6461,Riksdagens arvodesnämnd,,100 12,STOCKHOLM,,000 00,STOCKHOLM,702303205.0,,riksdagens.arvodesnamnd@riksdagen.se,www.riksdagen.se/sv/sa-funkar-riksdagen/riksdagens-myndigheter-och-namnder/riksdagens-arvodesnamnd,2012:883,,,,,,,,,,,,,,,,,
202100-2650,RIKSDAGENS OMBUDSMÄN,BOX 16327,103 26,STOCKHOLM,VÄSTRA TRÄDGÅRDSGATAN 4,111 53,STOCKHOLM,87865100.0,,justitieombudsmannen@jo.se,www.jo.se,1986:765,,,,,,,,,,,,,,,,,
202100-2627,RIKSDAGSFÖRVALTNINGEN,,100 12,STOCKHOLM,RIKSGATAN 1-3,111 28,STOCKHOLM,,,registrator.riksdagsforvaltningen@riksdagen.se,www.riksdagen.se,2011:745,,,,,,,,,,,,,,,,,
202100-5422,RIKSREVISIONEN,BOX 6181,102 33,STOCKHOLM,SANKT ERIKSGATAN 117,113 43,STOCKHOLM,851714000.0,,registrator@riksrevisionen.se,www.riksrevisionen.se,2002:1023,,,,,,,,,,,,,,,,,
202100-2684,SVERIGES RIKSBANK,,103 37,STOCKHOLM,BRUNKEBERGSTORG 11,111 51,STOCKHOLM,87870000.0,,Lon@riksbank.se,www.riksbank.se,1988:1385,,,,,,,,,,,,,,,,,
